ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Definition
4ab60a4e-166d-47ca-a5d1-9427cf27944a,Attribute,4afc55a8-c0e6-4c81-bad0-c223cd6764e4,Household Equipment and Products,,,,,,,,"Companies that manufacture and supply various household products. Includes manufacturers of gardening tools, kitchen utensils, dishes and other home related products"
9834771f-ef3d-4692-a7ee-9560bbb15221,Attribute,4afc55a8-c0e6-4c81-bad0-c223cd6764e4,Consumer Electronics,,,,,,,,Companies primarily involved in the application of technology and electronics to the consumer discretionary sector.
88a93987-cf24-4ba1-96f3-9df6b46bf119,Attribute,4afc55a8-c0e6-4c81-bad0-c223cd6764e4,Electronic Entertainment,,,,,,,,"Companies that design, manufacture and market video game software and related elements. Also includes consumer entertainment technology, e.g. Dolby"
29f4400d-ef63-45b9-923e-dfd3ac01d6b8,Attribute,4afc55a8-c0e6-4c81-bad0-c223cd6764e4,Toys,,,,,,,,"Manufacturers and distributors of toys and games as playing cards, board games, stuffed animals and dolls."
49670e1a-a823-4518-b93b-53226466e344,Attribute,4afc55a8-c0e6-4c81-bad0-c223cd6764e4,Recreational Products,,,,,,,,"Manufacturers and distributors of recreational equipment not classified in other ""Leisure Goods"" categories, including Musical  Instruments"
628de27c-e4ef-4eb6-ae26-03c209c5c0ea,Attribute,4afc55a8-c0e6-4c81-bad0-c223cd6764e4,Recreational Vehicles and Boats,,,,,,,,"Companies that design, manufacture and market recreation vehicles (RVs), motorcycles or passenger boats"
4f87d1c1-a6d2-482f-8d29-262b95c8bce0,Group,1a9fb158-58ab-44ab-b7a0-bdb31ec331a7,Personal Goods,,,,,,,,
ecb9e5f0-55ff-4c8b-9eeb-93a18a1dd137,Attribute,4f87d1c1-a6d2-482f-8d29-262b95c8bce0,Photography,,,,,,,,Companies that produce and/or market professional and/or personal imaging products including digital cameras and film cameras
6eb099f4-a827-4801-bedd-1e602385a1b8,Group,a700e59c-590a-4795-a1b5-747ece159f68,"Consumer
Products and
Services ",,,,,,,,
298ad180-1f0b-4158-b02e-92df50dbdd6a,Group,6eb099f4-a827-4801-bedd-1e602385a1b8,Personal Goods,,,,,,,,
f2c77574-4871-455e-84b6-b2f122c57afb,Attribute,298ad180-1f0b-4158-b02e-92df50dbdd6a,Clothing and Accessories,,,,,,,,"Manufacturers and distributors of all types of clothing and accessories. Includes sportswear, sunglasses, eyeglass frames, leather clothing and goods, and processors of hides and skins. Excludes jewelry, which is categorized under Luxury Items"
29e02857-acc6-49a6-92b8-5d5797971c0c,Attribute,298ad180-1f0b-4158-b02e-92df50dbdd6a,Footwear,,,,,,,,"Manufacturers and distributors of shoes, boots, sandals, sneakers and other types of footwear."
5765a678-5119-452e-b5b6-63876e46108d,Attribute,298ad180-1f0b-4158-b02e-92df50dbdd6a,Luxury Items,,,,,,,,"Companies that manufacture and market jewelry, watches and gemstones."
c4708ae3-7d43-4b48-a30f-961cf69252cc,Attribute,298ad180-1f0b-4158-b02e-92df50dbdd6a,Cosmetics,,,,,,,,"Companies that produce and market make-up and fragrance products (perfume).  Excludes personal care products, which are classified under Consumer Staples"
0e9cc619-c0f9-4c69-9062-3b2272252582,Group,a700e59c-590a-4795-a1b5-747ece159f68,Media,,,,,,,,
7caa93a8-8fd1-4392-bf36-e2371d868a3d,Group,0e9cc619-c0f9-4c69-9062-3b2272252582,Media,,,,,,,,
92a02558-475d-462b-b935-2f85339fd6a3,Attribute,7caa93a8-8fd1-4392-bf36-e2371d868a3d,Entertainment,,,,,,,,"Companies that provide various media services including feature films, music and television shows and stations"
8557103d-033d-4910-8e5a-379e107d44f9,Attribute,7caa93a8-8fd1-4392-bf36-e2371d868a3d,Media Agencies,,,,,,,,"Companies that provide a wide range of marketing and public relations services such as promoting advertising space in telephone and professional directories, analyzing market research and other various marketing activities.  Excluding website design/publishing, which are classified under the Consumer Digital Services Subsector."
f7aea2fa-4aa5-42ce-bb89-2a86bd4dae5e,Attribute,7caa93a8-8fd1-4392-bf36-e2371d868a3d,Publishing,,,,,,,,"Companies that provide advertising and publishing services to customers in industrial, commercial, and design markets.  This includes companies that publish books, magazines, comics, encyclopedias, financial reports, journals and/or newspapers"
34569d04-dd09-4d13-982c-68ba2757fae3,Attribute,7caa93a8-8fd1-4392-bf36-e2371d868a3d,Radio and TV Broadcasters,,,,,,,,Companies with principal activities that include operating commercial TV stations and/or radio broadcasting
62d7d98d-df4e-463c-92f5-2039a2a26d8d,Group,a700e59c-590a-4795-a1b5-747ece159f68,Retailers,,,,,,,,
b3f17136-9298-477f-9d77-19ec0630fedb,Group,62d7d98d-df4e-463c-92f5-2039a2a26d8d,Retailers,,,,,,,,
3d18c945-8fb6-47e7-bc64-7f184e80bc66,Attribute,b3f17136-9298-477f-9d77-19ec0630fedb,Diversified Retailers,,,,,,,,Retail outlets and wholesalers offering a wide variety of products including both hard goods and soft goods.
a308ac12-bb64-4b68-8f00-b097738634a9,Attribute,b3f17136-9298-477f-9d77-19ec0630fedb,Apparel Retailers,,,,,,,,"Retailers and wholesalers specializing mainly in clothing, shoes, jewelry, sunglasses and other accessories."
a71b8dc5-b56f-42b4-8c10-ef1917ab2041,Attribute,b3f17136-9298-477f-9d77-19ec0630fedb,Home Improvement Retailers,,,,,,,,"Retailers and wholesalers concentrating on the sale of home improvement products, including garden equipment, carpets, wallpaper, paint, home furniture, blinds and curtains, and building materials."
fa625942-d8ac-442c-8a2b-3a819dec4f84,Attribute,b3f17136-9298-477f-9d77-19ec0630fedb,Specialty Retailers,,,,,,,,"Retailers and wholesalers concentrating on a single class of goods, such as electronics, books, automotive parts or closeouts. Includes automobile dealerships, duty-free shops and automotive fuel stations not owned by oil companies.  Excludes Apparel and Home Improvement Retailers"
