ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Description,Level,Code
ce17a1a3-85ab-4ad6-a851-998d67f3c967,Attribute,c5bdfdde-3957-45e5-87e4-c2cda03e8812,Commercial Vehicles,,,,,,,,,4,17101410
2361c9be-a70e-453b-a56d-3bfcad9baa74,Attribute,c5bdfdde-3957-45e5-87e4-c2cda03e8812,Railroad Rolling Stock,,,,,,,,,4,17101411
ca4f5abf-424d-4e36-9199-2069f0c1b46d,Group,65d3fb6e-9150-41d5-a6ca-acf5dcfff651,Transportation & Logistics,,,,,,,,,3,171112
d8aed52b-48ab-4849-ac73-6550250c675b,Attribute,ca4f5abf-424d-4e36-9199-2069f0c1b46d,Courier Services,,,,,,,,,4,17111212
323a5e1b-6fa7-48dd-a7a7-888bda085adb,Attribute,ca4f5abf-424d-4e36-9199-2069f0c1b46d,Rail Freight,,,,,,,,,4,17111214
ca57e3d1-bdd3-490a-8639-6b0770bc1610,Attribute,ca4f5abf-424d-4e36-9199-2069f0c1b46d,Trucking,,,,,,,,,4,17111215
43df0b44-8349-48eb-a724-ac765b4c1cbe,Attribute,ca4f5abf-424d-4e36-9199-2069f0c1b46d,Transit Services,,,,,,,,,4,17111216
c3520f9f-8afb-43fe-bb95-65e88464430a,Attribute,ca4f5abf-424d-4e36-9199-2069f0c1b46d,Logistics Services,,,,,,,,,4,17111217
1d5aa433-32e4-480c-ba7a-fac681763aab,Attribute,ca4f5abf-424d-4e36-9199-2069f0c1b46d,Transport Operations & Services,,,,,,,,,4,17111218
708d3a7a-7233-4d80-8651-49d4c1317afd,Object,962efac7-b2be-44bf-ad6b-1ffb74ab59d1,Metals + Plastics,,,,,,,,,,
9cabbb5b-1022-4b6f-80d6-8ecb0a65379e,Attribute,708d3a7a-7233-4d80-8651-49d4c1317afd,Plastic Products,,,,,,,,,5,1710151110
3fd6da86-d5aa-42b2-9298-39254541d47d,Attribute,708d3a7a-7233-4d80-8651-49d4c1317afd,Steel,,,,,,,,,3,181014
783fdbdd-dcfe-43a9-9f6d-71b23a039ccd,Group,708d3a7a-7233-4d80-8651-49d4c1317afd,Metals & Mining,,,,,,,,,3,181015
f6e9dbc9-8bda-44ba-89b4-104fe2a4cdb6,Attribute,783fdbdd-dcfe-43a9-9f6d-71b23a039ccd,Iron,,,,,,,,,4,18101510
9b75fb3a-7b17-4f35-9d92-7d537a54d1de,Attribute,783fdbdd-dcfe-43a9-9f6d-71b23a039ccd,Aluminum,,,,,,,,,5,1810151110
a13083b0-a725-47e8-bc5c-2c543a37263d,Object,962efac7-b2be-44bf-ad6b-1ffb74ab59d1,Waste Management,,,,,,,,,,
23a598fb-1f9d-49d6-aa95-6eaa0b0fcd23,Group,a13083b0-a725-47e8-bc5c-2c543a37263d,Waste Management,,,,,,,,,4,17111115
1193c63d-eb9e-4a66-bb1a-2c514e237cf0,Attribute,23a598fb-1f9d-49d6-aa95-6eaa0b0fcd23,Recyclable Materials,,,,,,,,,5,1711111511
457e6c69-a45e-4f5e-90d6-3a79a140a60b,Attribute,23a598fb-1f9d-49d6-aa95-6eaa0b0fcd23,Solid Waste Collection & Treat,,,,,,,,,5,1711111512
1a395dcf-2a9b-42a3-b858-43804d8042b7,Group,a13083b0-a725-47e8-bc5c-2c543a37263d,Engineering & Construction,,,,,,,,,3,171113
944ad706-4884-48de-9bfb-e6059e000e48,Attribute,1a395dcf-2a9b-42a3-b858-43804d8042b7,Engineering Services,,,,,,,,,4,17111310
0fe3b5b6-1bf5-4496-80a3-cf07bfe75a7c,Attribute,1a395dcf-2a9b-42a3-b858-43804d8042b7,Infrastructure Construction,,,,,,,,,4,17111311
51e586c1-2a3e-4a4b-8ca8-c8b4306c25ba,Object,962efac7-b2be-44bf-ad6b-1ffb74ab59d1,Manufacturing,,,,,,,,,,
73e8a600-f618-42ee-a5e4-b56b45cca335,Group,51e586c1-2a3e-4a4b-8ca8-c8b4306c25ba,Chemicals,,,,,,,,,3,181010
05fbccc0-a4c5-45a2-a071-689d280d0eab,Attribute,73e8a600-f618-42ee-a5e4-b56b45cca335,Agricultural Chemicals,,,,,,,,,4,18101010
73d0689a-b080-4675-afde-6aec6d04881c,Attribute,73e8a600-f618-42ee-a5e4-b56b45cca335,Basic & Diversified Chemicals,,,,,,,,,4,18101011
dce54103-ac08-46b5-af6b-5f5e9f2ec6b1,Attribute,73e8a600-f618-42ee-a5e4-b56b45cca335,Specialty Chemicals,,,,,,,,,4,18101012
4f41f5f7-195a-4d6b-9bec-5c3fbdd4f987,Group,51e586c1-2a3e-4a4b-8ca8-c8b4306c25ba,Construction Materials,,,,,,,,,3,181011
93aca9a9-d592-4d3a-9523-3bb75d768313,Attribute,4f41f5f7-195a-4d6b-9bec-5c3fbdd4f987,Cement & Aggregates,,,,,,,,,4,18101110
b069e7db-4bfe-4de1-a83e-149c6d3cd659,Attribute,4f41f5f7-195a-4d6b-9bec-5c3fbdd4f987,Containers & Packaging,,,,,,,,,4,18101210
45c9fbc9-afa3-4a43-90bf-63524707e6c4,Object,962efac7-b2be-44bf-ad6b-1ffb74ab59d1,Technology,,,,,,,,,,
b43d7dbd-051b-4cdc-ae2e-e6137e7e1875,Attribute,45c9fbc9-afa3-4a43-90bf-63524707e6c4,Engineering Software,,,,,,,,,5,1911101012
75d2c1e2-dd2b-423e-b50f-d168a66f43f0,Group,45c9fbc9-afa3-4a43-90bf-63524707e6c4,Enterprise Software,,,,,,,,,5,1911101013
6cc5112a-de70-4a44-9597-b3f3730906b9,Attribute,75d2c1e2-dd2b-423e-b50f-d168a66f43f0,Real Estate Information,,,,,,,,,6,191111111112
d7c465ae-9ad3-45a5-ba10-92b77c0cd85b,Attribute,75d2c1e2-dd2b-423e-b50f-d168a66f43f0,Scientific Information,,,,,,,,,6,191111111113
7cc6db77-0dbc-4596-91c1-029d52d599b9,Attribute,75d2c1e2-dd2b-423e-b50f-d168a66f43f0,Technology Information,,,,,,,,,6,191111111114
