ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,Code,description
bfa2586a-7a52-4e6b-9bea-ab3636749a13,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Financial Exchanges & Data,,,,,,,,4,40203040,"Financial  exchanges  for  securities,  commodities,  derivatives and other financial instruments, and providers of financial decision support tools and products  including ratings agencies"
4e38e25e-1d53-461f-b1cd-ea1c7071ac1d,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,"Mortgage Real Estate Investment 
Trusts (REITs)",,,,,,,,3,402040,
97effd87-46e2-439c-973c-24d95858ae62,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Mortgage REITs,,,,,,,,4,40204010,"Companies or Trusts that service, originate, purchase and/or securitize residential and/or commercial mortgage loans.  Includes trusts that invest in mortgage-backed securities and other mortgage related assets."
cc93c852-dc7c-4487-9172-6ecff23afabf,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Insurance,,,,,,,,2,4030,
212e21f5-8388-45b6-8d4e-b8cf5c77ac2a,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Insurance,,,,,,,,3,403010,
b5456d0d-a0c2-47d8-9f76-c5e17ceaccc8,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Insurance Brokers,,,,,,,,4,40301010,Insurance and reinsurance brokerage firms.
ee774157-6106-4c67-833c-1920f2647996,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Life & Health Insurance,,,,,,,,4,40301020,"Companies providing primarily life, disability, indemnity or supplemental health insurance. Excludes managed care companies classified in the Managed Health Care Sub-Industry."
30c46bb8-c9d4-4df4-8006-d97b452b39d9,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Multi-line Insurance,,,,,,,,4,40301030,"Insurance companies with diversified interests in life, health and property and casualty insurance."
440df005-11d9-40ac-8f5d-9cd0b2c5b19a,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Property & Casualty Insurance,,,,,,,,4,40301040,Companies providing primarily property and casualty insurance.
2b2a0ec3-31e8-467d-9823-68a44e9c1a1c,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Reinsurance,,,,,,,,4,40301050,Companies providing primarily reinsurance.
518c0e86-bef3-4353-891d-d80c7c0f5886,Object,a6fc45a0-167a-4a08-a37f-8ddf1befc5d4,Information Technology,,,,,,,,1,45,
220a4c90-dda8-4bfe-b445-2a743dd40160,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Software & Services,,,,,,,,2,4510,
fc2091f5-0905-4976-b613-b00f55e3f6b1,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,IT Services,,,,,,,,3,451020,
524330b7-9324-403c-a67e-a4a356f296dd,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,IT Consulting & Other Services,,,,,,,,4,45102010,Providers of information technology and systems integration services not classified in the Data Processing & Outsourced Services Sub-Industry.  Includes information technology consulting and information management services.
fa8ec02e-8942-4399-b1eb-c60c34129ca6,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Internet Services & Infrastructure,,,,,,,,4,45102030,Companies providing services and infrastructure for the internet industry including data centers and cloud networking and storage infrastructure. Also includes companies providing web hosting services. Excludes companies classified in the Software Industry.
e49724e3-dd3b-455f-994e-e23a309ccfbf,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Software,,,,,,,,3,451030,
a4271c4a-c681-4d87-b0ba-d3b545f3a829,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Application Software,,,,,,,,4,45103010,"Companies engaged in developing and producing software designed for specialized applications for the business or consumer market. Includes enterprise and technical software, as well as cloud-based software. Excludes companies classified in the Interactive Home Entertainment Sub-Industry. Also excludes companies producing systems or database management software classified in the Systems Software Sub-Industry."
34b207d8-1329-4cb2-bf72-5420b35cfe94,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Systems Software,,,,,,,,4,45103020,Companies engaged in developing and producing systems and database management software.
40e17a58-7741-4a85-bb87-3669b921b8bf,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Technology Hardware & Equipment,,,,,,,,2,4520,
5f4ac57e-9152-4076-8a29-b91e1cd95bfd,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Communications Equipment,,,,,,,,3,452010,
35ce9ec2-b6ed-4e3c-83ea-3d50004c2030,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Communications Equipment,,,,,,,,4,45201020,"Manufacturers of communication equipment and products, including LANs, WANs, routers, telephones, switchboards and exchanges. Excludes cellular phone manufacturers classified in the Technology Hardware, Storage & Peripherals Sub-Industry."
2fcb8b12-b768-4f5e-8f24-c1373af6a237,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,"Technology Hardware, Storage & Peripherals",,,,,,,,3,452020,
baa6f1ce-ccb2-4ca7-9cf5-5a049b501440,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,"Technology Hardware, Storage & Peripherals",,,,,,,,4,45202030,"Manufacturers of cellular phones, personal computers, servers, electronic computer components and peripherals. Includes data storage components, motherboards, audio and video cards, monitors, keyboards, printers, and other peripherals. Excludes semiconductors classified in the Semiconductors Sub-Industry."
0faf7c90-8493-4bc1-a305-8f32419f71a5,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,"Electronic Equipment, Instruments & Components",,,,,,,,3,452030,
b61b5479-f02f-4559-9a0f-a1074b9fa86a,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Electronic Equipment & Instruments,,,,,,,,4,45203010,"Manufacturers of electronic equipment and instruments including analytical, electronic test and measurement instruments, scanner/barcode products, lasers, display screens, point-of-sales machines, and security system equipment."
78c8aee8-578c-4b09-aa4d-56884a6f281f,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Electronic Components,,,,,,,,4,45203015,"Manufacturers of electronic components. Includes electronic components, connection devices, electron tubes, electronic capacitors and resistors, electronic coil, printed circuit board, transformer and other inductors, signal processing technology/components."
8dc94491-9b0c-47ab-bb2d-e7ba2c9f642a,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Electronic Manufacturing Services,,,,,,,,4,45203020,Producers of electronic equipment mainly for the OEM (Original Equipment Manufacturers) markets.
40e3788b-df3f-4044-85c4-7a67b5a518c8,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Technology Distributors,,,,,,,,4,45203030,"Distributors of technology hardware and equipment. Includes distributors of communications equipment, computers & peripherals, semiconductors, and electronic equipment and components."
9b0b17e1-31eb-4133-a8b3-fc24cc75b519,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Semiconductors & Semiconductor Equipment,,,,,,,,2,4530,
5de613b7-eb6d-4884-b265-e9262a738952,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Semiconductors & Semiconductor Equipment,,,,,,,,3,453010,
e1cb1ad9-87e7-4505-8540-2a3652a8f519,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Semiconductor Materials & Equipment,,,,,,,,4,45301010,"Manufacturers of semiconductor equipment, including manufacturers of the raw material and equipment used in the solar power industry."
6a1671f0-f284-4a84-a1fc-a8838d01b5a4,Attribute,518c0e86-bef3-4353-891d-d80c7c0f5886,Semiconductors,,,,,,,,4,45301020,"Manufacturers of semiconductors and related products, including manufacturers of solar modules and cells."
f7b04be5-cbc7-48a5-b180-95552dd24b28,Object,a6fc45a0-167a-4a08-a37f-8ddf1befc5d4,Communication Services,,,,,,,,1,50,
53baa5db-39aa-45f1-a61a-51de5b32f5ec,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Telecommunication Services,,,,,,,,2,5010,
2b05e590-d6e6-4c43-990c-ff71846aa59f,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Diversified Telecommunication Services,,,,,,,,3,501010,
c33f99c0-741c-47b0-bb4e-04693eee6ce7,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Alternative Carriers,,,,,,,,4,50101010,Providers of communications and high-density data transmission services primarily through a high bandwidth/fiber-optic cable network.
