ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,Code Group,Mapping ID,Code
d0855092-5c96-4f38-9546-5af841591b85,Attribute,86f708bc-3b5e-49d4-b622-9302c167a7ff,Operation of rail freight terminals,,,,,,,,5,UK SIC,52211,52211
93351be6-a99e-461d-b021-68521fb596fb,Attribute,86f708bc-3b5e-49d4-b622-9302c167a7ff,Operation of rail passenger facilities at railway stations,,,,,,,,5,UK SIC,52212,52212
85b9f5ee-1092-4372-a3a3-1a62fd50226f,Attribute,86f708bc-3b5e-49d4-b622-9302c167a7ff,Operation of bus and coach passenger facilities at bus and coach stations,,,,,,,,5,UK SIC,52213,52213
fa628a52-e11d-47a2-8ecf-32d6ad260890,Attribute,86f708bc-3b5e-49d4-b622-9302c167a7ff,"Other service activities incidental to land transportation, n.e.c. (not including operation of rail freight terminals, passenger facilities at railway stations or passenger facilities at bus and coach stations)",,,,,,,,5,UK SIC,52219,52219
375f05a3-214d-49c5-9fc6-71a42df5bce3,Attribute,3abe50f2-1c2e-4e7f-8c80-930761a61f85,Service activities incidental to water transportation,,,,,,,,4,UK SIC,5222,5222
52047fff-5fd4-4f0c-a7c5-2c9e2d7ab2de,Attribute,3abe50f2-1c2e-4e7f-8c80-930761a61f85,Service activities incidental to air transportation,,,,,,,,4,UK SIC,5223,5223
ad4c78cd-aa33-4d7a-9b23-2c405554c7fa,Group,3abe50f2-1c2e-4e7f-8c80-930761a61f85,Cargo handling,,,,,,,,4,UK SIC,5224,5224
e3e37952-9874-4f78-b052-911b8962155c,Attribute,ad4c78cd-aa33-4d7a-9b23-2c405554c7fa,Cargo handling for water transport activities of division 50,,,,,,,,5,UK SIC,52241,52241
5d59d6a6-b0ef-4797-8690-37f97a230793,Attribute,ad4c78cd-aa33-4d7a-9b23-2c405554c7fa,Cargo handling for air transport activities of division 51,,,,,,,,5,UK SIC,52242,52242
c8f0bdd0-0465-40cb-ab16-7b5850894086,Attribute,ad4c78cd-aa33-4d7a-9b23-2c405554c7fa,Cargo handling for land transport activities of division 49,,,,,,,,5,UK SIC,52243,52243
92ef55df-f146-407b-992e-17a6e970c8e2,Attribute,3abe50f2-1c2e-4e7f-8c80-930761a61f85,Other transportation support activities,,,,,,,,4,UK SIC,5229,5229
4a091985-c82e-4a9e-ab23-37a8237f798a,Group,86b3397a-b49e-43a0-9bf5-911e42dd6c58,Postal and courier activities,,,,,,,,2,UK SIC,53,53
60a51b9f-c1b7-4876-91d3-5d7b10454623,Group,4a091985-c82e-4a9e-ab23-37a8237f798a,Postal activities under universal service obligation,,,,,,,,3,UK SIC,53.1,531
a2247e78-7b7d-48f0-8ca2-531a02b7e920,Attribute,60a51b9f-c1b7-4876-91d3-5d7b10454623,Postal activities under universal service obligation,,,,,,,,4,UK SIC,5310,5310
5d2b45f1-28e9-49d5-9741-f210824edb2a,Group,4a091985-c82e-4a9e-ab23-37a8237f798a,Other postal and courier activities,,,,,,,,3,UK SIC,53.2,532
594d8c93-f9ce-455c-92f6-d2b9c14b3410,Group,5d2b45f1-28e9-49d5-9741-f210824edb2a,Other postal and courier activities,,,,,,,,4,UK SIC,5320,5320
c431c51e-56bc-420a-bd40-9a16ded42099,Attribute,594d8c93-f9ce-455c-92f6-d2b9c14b3410,Licensed Carriers,,,,,,,,5,UK SIC,53201,53201
