ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,Code Group,Level 0 Group,Code,Mapping ID
f2fe7ddd-52d4-4a1b-95dd-62cedba492d2,Group,31644e9e-dd21-4a70-badc-58046f2999fb,Construction of utility projects,,,,,,,,3,ISIC Rev 4,,422,422
fea7bb70-fba3-4511-baed-de39d00600f9,Attribute,f2fe7ddd-52d4-4a1b-95dd-62cedba492d2,Construction of utility projects,,,,,,,,4,ISIC Rev 4,,4220,4220
0b33ab5f-9535-4224-a094-eb68f0192bb9,Group,31644e9e-dd21-4a70-badc-58046f2999fb,Construction of other civil engineering projects,,,,,,,,3,ISIC Rev 4,,429,429
ddba28b7-010a-4a24-a7b9-421bba5674d1,Attribute,0b33ab5f-9535-4224-a094-eb68f0192bb9,Construction of other civil engineering projects,,,,,,,,4,ISIC Rev 4,,4290,4290
2c078f45-e98d-4263-92ad-8fcfa5df4fb2,Group,71536dc1-8286-43d6-a2be-a37d36ca391a,Specialized construction activities,,,,,,,,2,ISIC Rev 4,F,43,43
54a8a08e-211b-4f7f-b280-c262883db1bb,Group,2c078f45-e98d-4263-92ad-8fcfa5df4fb2,Demolition and site preparation,,,,,,,,3,ISIC Rev 4,,431,431
478f805c-9f66-4c4f-bcf7-c135d2a2cea3,Attribute,54a8a08e-211b-4f7f-b280-c262883db1bb,Demolition,,,,,,,,4,ISIC Rev 4,,4311,4311
48d6fd1c-d308-4e58-960f-c19928857f16,Attribute,54a8a08e-211b-4f7f-b280-c262883db1bb,Site preparation,,,,,,,,4,ISIC Rev 4,,4312,4312
af3d9891-5cd0-41fb-919e-e8ab4b6d06aa,Group,2c078f45-e98d-4263-92ad-8fcfa5df4fb2,"Electrical, plumbing and other construction installation activities",,,,,,,,3,ISIC Rev 4,,432,432
fc8ed603-689e-4cc5-8ee2-363dabc2e0f9,Attribute,af3d9891-5cd0-41fb-919e-e8ab4b6d06aa,Electrical installation,,,,,,,,4,ISIC Rev 4,,4321,4321
