ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Code
126e2d48-5329-4713-84cc-c83cc67362db,Attribute,1ab40bc9-2560-4a94-b236-b0960f2703ec,Tobacco,,,,,,,,FB-TB
95bb45bc-6d24-472c-a0e6-49c13199a0b1,Object,61a5b282-e908-4fc3-9895-43fc717cf499,Health Care,,,,,,,,HC
5cd66818-55ea-4399-b700-b4bdc8591ad3,Group,95bb45bc-6d24-472c-a0e6-49c13199a0b1,Biotechnology & Pharmaceuticals,,,,,,,,HC.1
c920aeae-f11d-46ae-8934-e084f71f7ea8,Attribute,5cd66818-55ea-4399-b700-b4bdc8591ad3,Biotechnology & Pharmaceuticals,,,,,,,,HC-BP
49c86ff9-a8dd-4ce1-9b50-5da0cab528b1,Group,95bb45bc-6d24-472c-a0e6-49c13199a0b1,Health Care Retail,,,,,,,,HC.2
25a914f1-2cbf-41ca-abed-c7836a055be7,Attribute,49c86ff9-a8dd-4ce1-9b50-5da0cab528b1,Drug Retailers,,,,,,,,HC-DR
c19f6dd1-1e4c-484e-8fd3-c39bee794350,Group,95bb45bc-6d24-472c-a0e6-49c13199a0b1,Health Care Providers,,,,,,,,HC.3
7d9b0f6d-5069-46e6-8238-034932fd3cdf,Attribute,c19f6dd1-1e4c-484e-8fd3-c39bee794350,Health Care Delivery,,,,,,,,HC-DY
12f46ec9-af06-415e-b631-aea5d2e548bf,Attribute,c19f6dd1-1e4c-484e-8fd3-c39bee794350,Health Care Distributors,,,,,,,,HC-DI
5f3ef2f5-42e3-401a-8034-c695086efbcd,Attribute,c19f6dd1-1e4c-484e-8fd3-c39bee794350,Managed Care,,,,,,,,HC-MC
7ef10738-7b38-4a98-bb15-4b154ece5eb3,Group,95bb45bc-6d24-472c-a0e6-49c13199a0b1,Medical Technology,,,,,,,,HC.4
b95706e4-99f0-409e-ab8e-ab33f4fe22b3,Attribute,7ef10738-7b38-4a98-bb15-4b154ece5eb3,Medical Equipment & Supplies,,,,,,,,HC-MS
5576bb2b-7517-4e3b-822f-725fee8682ef,Object,61a5b282-e908-4fc3-9895-43fc717cf499,Infrastructure,,,,,,,,IF
1f311214-0668-4395-9a59-dfb1b49608d0,Group,5576bb2b-7517-4e3b-822f-725fee8682ef,Utilities,,,,,,,,IF.1
cde94928-4bff-4820-9996-6a063ca14ccb,Attribute,1f311214-0668-4395-9a59-dfb1b49608d0,Electric Utilities & Power Generators,,,,,,,,IF-EU
d940f584-21e5-4a6c-a350-8ebb7fd55243,Attribute,1f311214-0668-4395-9a59-dfb1b49608d0,Gas Utilities & Distributors,,,,,,,,IF-GU
41b6a887-2bc4-4ea0-8c4f-5fdfdbcb8388,Attribute,1f311214-0668-4395-9a59-dfb1b49608d0,Water Utilities & Services,,,,,,,,IF-WU
d944f221-8d13-4a4b-961c-b0c0bb26a776,Group,5576bb2b-7517-4e3b-822f-725fee8682ef,Insfrastructure,,,,,,,,IF.2
7d0a80a4-7d15-40f2-a4c0-6030b3d65a82,Attribute,d944f221-8d13-4a4b-961c-b0c0bb26a776,Engineering & Construction Services,,,,,,,,IF-EN
500bc18d-8e27-42d9-8aa6-3d24978d4ee8,Group,5576bb2b-7517-4e3b-822f-725fee8682ef,Real Estate,,,,,,,,IF.3
