ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,description,Code Group,Code,Mapping ID,Full Code,NACE Rev 1.1 Code,NACE Rev 1.1 desc,Level 0 Group,id,NACE rev 1 Source,NACE Rev 2 Target,Updates
603f387f-769b-41e8-a413-c26612768b2f,Attribute,c5618aab-1be7-4898-a37c-138ed4b7914f,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,98bdd66e-d622-4c17-ac9e-880903543c04,,,,,,,4,,NACE Rev 2,10.72,10.72,C10.72,15.82,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,C,,,,
920c811a-da31-4a2c-a976-aad8b3c81cd0,Attribute,c5618aab-1be7-4898-a37c-138ed4b7914f,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",972ed3de-38ac-4e4f-b980-62725443e67f,,,,,,,4,,NACE Rev 2,10.73,10.73,C10.73,15.85,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",C,,,,
d7f06641-7569-4b9c-b9ee-d4faa9990f77,Group,2e46b5c8-8b52-49d8-9282-288149070ddd,Manufacture of other food products,,,,,,,,3,,NACE Rev 2,10.8,10.8,C10.8,N/A,N/A,C,,,,
01ceb163-bb60-4706-9ec3-639b3c77290d,Attribute,d7f06641-7569-4b9c-b9ee-d4faa9990f77,Manufacture of sugar,16309fad-0433-4d67-ace6-8808bc93bce4,,,,,,,4,,NACE Rev 2,10.81,10.81,C10.81,15.83,Manufacture of sugar,C,,,,
20ae2285-ed95-43e0-a166-e32d2c59a69d,Attribute,d7f06641-7569-4b9c-b9ee-d4faa9990f77,"Manufacture of cocoa, chocolate and sugar confectionery",63fd2194-7307-4950-b96f-5c48a4303e23,,,,,,,4,,NACE Rev 2,10.82,10.82,C10.82,15.84,Manufacture of cocoa; chocolate and sugar confectionery,C,,,,
98e782e1-4743-4740-9e29-1a1cdfa6f862,Attribute,d7f06641-7569-4b9c-b9ee-d4faa9990f77,Processing of tea and coffee,1398d2b3-e339-47ed-a17d-a400cd8e86cd,,,,,,,4,,NACE Rev 2,10.83,10.83,C10.83,15.86,Processing of tea and coffee,C,,,,
51ce349c-2c3b-441a-b9c5-ee05e38f5155,Attribute,d7f06641-7569-4b9c-b9ee-d4faa9990f77,Manufacture of condiments and seasonings,"edab19de-c329-44be-a298-51b199f36590,d0ce64ae-84fd-449e-97ca-636b6b7906c4",,,,,,,4,,NACE Rev 2,10.84,10.84,C10.84,14.4,Production of salt,C,,,,
300fa5b7-28d3-4b0a-a3f3-f043e46ef20b,Attribute,d7f06641-7569-4b9c-b9ee-d4faa9990f77,Manufacture of prepared meals and dishes,"28a489f1-56d8-4528-850b-92e72bfded40,c6efb3e8-152a-4c6c-9ba3-56de51437214,4c94c1ca-fb9e-4c56-ac58-80565f9f8bed,1c9c55d2-d48b-4d7d-83be-b04c7107b9f5,972ed3de-38ac-4e4f-b980-62725443e67f",,,,,,,4,,NACE Rev 2,10.85,10.85,C10.85,15.13,Production of meat and poultrymeat products,C,,,,
ac4d6e2e-ad8b-4282-a9da-12b1fddb2600,Attribute,d7f06641-7569-4b9c-b9ee-d4faa9990f77,Manufacture of homogenised food preparations and dietetic food,816ffa6a-b782-42ad-91ad-1bd02e64d4bb,,,,,,,4,,NACE Rev 2,10.86,10.86,C10.86,15.88,Manufacture of homogenised food preparations and dietetic food,C,,,,
95bbfd8f-d3a9-4ab4-aca5-1a5b2726b44e,Attribute,d7f06641-7569-4b9c-b9ee-d4faa9990f77,Manufacture of other food products n.e.c.,"28a489f1-56d8-4528-850b-92e72bfded40,79dacd84-0d76-41c9-aa7e-786b6e5c33a3,1c9c55d2-d48b-4d7d-83be-b04c7107b9f5,62649f27-c669-4f1b-ae29-d937c1180f39",,,,,,,4,,NACE Rev 2,10.89,10.89,C10.89,15.13,Production of meat and poultrymeat products,C,,,,
e340fc6b-e198-4eed-b95c-305d55f7d82d,Group,2e46b5c8-8b52-49d8-9282-288149070ddd,Manufacture of prepared animal feeds,,,,,,,,3,,NACE Rev 2,10.9,10.9,C10.9,N/A,N/A,C,,,,
1edcb619-9c9b-4520-9e46-cf9d0de598b3,Attribute,e340fc6b-e198-4eed-b95c-305d55f7d82d,Manufacture of prepared feeds for farm animals,9784f771-fd5d-4fc3-893d-ef64b246c2cd,,,,,,,4,,NACE Rev 2,10.91,10.91,C10.91,15.71,Manufacture of prepared feeds for farm animals,C,,,,
dc4e6932-b264-4255-87e7-ea1188203d95,Attribute,e340fc6b-e198-4eed-b95c-305d55f7d82d,Manufacture of prepared pet foods,81072074-0d72-4897-807f-e54b5a5893c3,,,,,,,4,,NACE Rev 2,10.92,10.92,C10.92,15.72,Manufacture of prepared pet foods,C,,,,
69e421a5-4531-4931-b749-9b5f649f199a,Object,710862d1-b024-4c85-8c02-e0b810f77fd8,MANUFACTURING,,,,,,,,1,"This section includes the physical or chemical transformation of materials, substances, or components into new products, although this cannot be used as the single universal criterion for defining manufacturing (see remark on processing of waste below). The materials, substances, or components transformed are raw materials that are products of agriculture, forestry, fishing, mining or quarrying as well as products of other manufacturing activities. Substantial alteration, renovation or reconstruction of goods is generally considered to be manufacturing.

The output of a manufacturing process may be finished in the sense that it is ready for utilisation or consumption, or it may be semi-finished in the sense that it is to become an input for further manufacturing. For example, the output of alumina refining is the input used in the primary production of aluminium; primary aluminium is the input to aluminium wire drawing; and aluminium wire is the input for the manufacture of fabricated wire products.

Manufacture of specialised components and parts of, and accessories and attachments to, machinery and equipment is, as a general rule, classified in the same class as the manufacture of the machinery and equipment for which the parts and accessories are intended. Manufacture of unspecialised components and parts of machinery and equipment, e.g. engines, pistons, electric motors, electrical assemblies, valves, gears, roller bearings, is classified in the appropriate class of manufacturing, without regard to the machinery and equipment in which these items may be included. However, making specialised components and accessories by moulding or extruding plastics materials is included in group 22.2.

Assembly of the component parts of manufactured products is considered manufacturing. This includes the assembly of manufactured products from either self-produced or purchased components. 

The recovery of waste, i.e. the processing of waste into secondary raw materials is classified in group 38.3 (Materials recovery). While this may involve physical or chemical transformations, this is not considered to be a part of manufacturing. The primary purpose of these activities is considered to be the treatment or processing of waste and they are therefore classified in Section E (Water supply; sewerage, waste management and remediation activities). However, the manufacture of new final products (as opposed to secondary raw materials) is classified in manufacturing, even if these processes use waste as an input. For example, the production of silver from film waste is considered to be a manufacturing process.

Specialised maintenance and repair of industrial, commercial and similar machinery and equipment is, in general, classified in division 33 (Repair, maintenance and installation of machinery and equipment). However, the repair of computers and personal and household goods is classified in division 95 (Repair of computers and personal and household goods), while the repair of motor vehicles is classified in division 45 (Wholesale and retail trade and repair of motor vehicles and motorcycles). 

The installation of machinery and equipment, when carried out as a specialised activity, is classified in 33.20. 

Remark: The boundaries of manufacturing and the other sectors of the classification system can be somewhat blurry. As a general rule, the activities in the manufacturing section involve the transformation of materials into new products. Their output is a new product. However, the definition of what constitutes a new product can be somewhat subjective. As clarification, the following activities are considered manufacturing in NACE:
- fresh fish processing (oyster shucking, fish filleting), not done on a fishing boat (see 10.20)
- milk pasteurising and bottling (see 10.51)
- leather converting (see 15.11)
- wood preserving (see 16.10)
- printing and related activities (see 18.1)
- tyre retreading (see 22.11)
- ready-mixed concrete production (see 23.63)
- electroplating, plating, and metal heat treating (see 25.61)
- rebuilding or remanufacture of machinery (e.g. automobile engines, see 29.10)

Conversely, there are activities that, although sometimes involving transformation processes, are classified in other sections of NACE; in other words, they are not classified as manufacturing. They include:
- logging, classified in section A (Agriculture, forestry and fishing);
- beneficiating of agricultural products, classified in section A (Agriculture, forestry and fishing); 
- preparation of food for immediate consumption on the premises is classified to division 56 (Food and beverage service activities);
- beneficiating of ores and other minerals, classified in section B (Mining and quarrying); 
- construction of structures and fabricating operations performed at the site of construction, classified in section F (Construction);
- activities of breaking bulk and redistribution in smaller lots, including packaging, repackaging, or bottling products, such as liquors or chemicals; sorting of scrap; mixing paints to customer order; and cutting metals to customer order; treatment not resulting into a different good is classified to section G (Wholesale and retail trade; repair of motor vehicles and motorcycles).",NACE Rev 2,C,C,C,N/A,N/A,,,,,
5c3c83b5-5f6b-4b6c-8e3d-836d4aa9e541,Group,69e421a5-4531-4931-b749-9b5f649f199a,Manufacture of beverages,,,,,,,,2,"This division includes the manufacture of beverages, such as non-alcoholic beverages and mineral water, manufacture of alcoholic beverages mainly through fermentation, beer and wine, and the manufacture of distilled alcoholic beverages.",NACE Rev 2,11,11,C11,N/A,N/A,C,,,,
a0830e93-a812-4f4f-aceb-f788c703b0e6,Group,5c3c83b5-5f6b-4b6c-8e3d-836d4aa9e541,Manufacture of beverages,,,,,,,,3,,NACE Rev 2,11.0,11,C11.0,N/A,N/A,C,,,,
9e202fdc-72ab-45cb-b6bf-5eb178c11191,Attribute,a0830e93-a812-4f4f-aceb-f788c703b0e6,"Distilling, rectifying and blending of spirits","070e7dbf-be8f-4772-8876-a3027effd239,ac7cc0ee-e422-46d1-9b5a-cbd107ed4ffc,96d84b5e-e462-462d-8a5b-c4a909a2e3cd",,,,,,,4,,NACE Rev 2,11.01,11.01,C11.01,15.91,Manufacture of distilled potable alcoholic beverages,C,,,,
ecb8431d-732e-4a28-b570-f249f148492a,Attribute,a0830e93-a812-4f4f-aceb-f788c703b0e6,Manufacture of wine from grape,"897428ed-6202-426c-914a-a93be23013c1,4b07e7f2-514b-43f5-b107-07a28c261789,96d84b5e-e462-462d-8a5b-c4a909a2e3cd",,,,,,,4,,NACE Rev 2,11.02,11.02,C11.02,1.13,"Growing of fruit, nuts, beverage and spice crops",C,,,,
43b36851-c295-4267-8af3-36ff6be77fc2,Attribute,a0830e93-a812-4f4f-aceb-f788c703b0e6,Manufacture of cider and other fruit wines,064ceef1-39b4-4daf-89ee-a7f8d5f8685c,,,,,,,4,,NACE Rev 2,11.03,11.03,C11.03,15.94,Manufacture of cider and other fruit wines,C,,,,
07550413-5a01-481f-8a5a-8edd9df135d7,Attribute,a0830e93-a812-4f4f-aceb-f788c703b0e6,Manufacture of other non-distilled fermented beverages,623e32c7-f5dd-42a1-9f4e-9ba9a0f83eed,,,,,,,4,,NACE Rev 2,11.04,11.04,C11.04,15.95,Manufacture of other non-distilled fermented beverages,C,,,,
ebfd3f6e-dd5d-469c-8e70-cbf93feceb1d,Attribute,a0830e93-a812-4f4f-aceb-f788c703b0e6,Manufacture of beer,5363e719-cfea-4fac-b83d-a7d79fc66a34,,,,,,,4,,NACE Rev 2,11.05,11.05,C11.05,15.96,Manufacture of beer,C,,,,
