ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,NACE Code (EU Taxonomy Format),EU Taxonomy Activity Code,Description,Criteria,NACE Codes
35deb12d-f42c-4a1f-8c7c-f982b9b0118f,Attribute,c39ebf14-cce2-4575-a420-8451186fb8b1,A1.6.3 - Post-harvest crop activities,,,,,,,,A1.63,,,,
c7b97cad-e6c9-4ece-b75e-67b85b7cb18b,Attribute,c39ebf14-cce2-4575-a420-8451186fb8b1,A1.6.4 - Seed processing for propagation,,,,,,,,A1.64,,,,
b4f1c2d3-8cbd-460b-bcc1-90c6cd3f9c92,Group,541f9bb9-8099-4af7-b16a-d87f0c4c8904,"A1.7 - Hunting, trapping and related service activities",,,,,,,,A1.7,,,,
97f1e032-af12-4184-96ae-578a11daf40e,Attribute,b4f1c2d3-8cbd-460b-bcc1-90c6cd3f9c92,"A1.7.0 - Hunting, trapping and related service activities",,,,,,,,A1.70,,,,
ccaa5bd4-29cc-47d4-a134-4b975e3635ef,Group,8e36c23d-78a8-46c9-b2c1-a87dc766368a,A2 - Forestry and logging,,"c4208088-9918-4466-9bd4-48ebb0d1e3f1,c47f2aec-f2c1-46f7-bf35-eede5d8907c8,afd8b5ff-1eae-43d5-802a-0e684b331d1a,81dc0263-08dd-45fe-b3bf-3fef66223f35",,,,,,A2,,,,
93e39445-ad88-4389-b5ed-571fdb8e13c5,Transition,,,ccaa5bd4-29cc-47d4-a134-4b975e3635ef,c4208088-9918-4466-9bd4-48ebb0d1e3f1,,,,,,,,,,
f113f8fc-9a22-4fd7-930b-31412bf7515d,Transition,,,ccaa5bd4-29cc-47d4-a134-4b975e3635ef,c47f2aec-f2c1-46f7-bf35-eede5d8907c8,,,,,,,,,,
1afd596f-dbd5-4c0e-b549-ea692573e43d,Transition,,,ccaa5bd4-29cc-47d4-a134-4b975e3635ef,afd8b5ff-1eae-43d5-802a-0e684b331d1a,,,,,,,,,,
374f21bb-d3ba-40fa-9a37-5665a5aa996c,Transition,,,ccaa5bd4-29cc-47d4-a134-4b975e3635ef,81dc0263-08dd-45fe-b3bf-3fef66223f35,,,,,,,,,,
0f237c44-f14d-4128-b54f-90af716b5f7f,Group,ccaa5bd4-29cc-47d4-a134-4b975e3635ef,A2.1 - Silviculture and other forestry activities,,,,,,,,A2.1,,,,
57bc163a-3c6a-462a-9e10-a40c05c97dd0,Attribute,0f237c44-f14d-4128-b54f-90af716b5f7f,A2.1.0 - Silviculture and other forestry activities,,,,,,,,A2.10,,,,
ea9af531-b8dc-4bee-a2b8-320ede89e412,Group,ccaa5bd4-29cc-47d4-a134-4b975e3635ef,A2.2 - Logging,,,,,,,,A2.2,,,,
98fd0e7e-729a-46e8-a9de-dfce56fec7a8,Attribute,ea9af531-b8dc-4bee-a2b8-320ede89e412,A2.2.0 - Logging,,,,,,,,A2.20,,,,
603b74d4-c57d-4416-bf36-f1fd033ec394,Group,ccaa5bd4-29cc-47d4-a134-4b975e3635ef,A2.3 - Gathering of wild growing non-wood products,,,,,,,,A2.3,,,,
cb8afdfe-d7c2-448f-9cdc-b4aa6cc887d3,Attribute,603b74d4-c57d-4416-bf36-f1fd033ec394,A2.3.0 - Gathering of wild growing non-wood products,,,,,,,,A2.30,,,,
d3e63ee0-817f-4f0d-8003-75119a44c2dc,Group,ccaa5bd4-29cc-47d4-a134-4b975e3635ef,A2.4 - Support services to forestry,,,,,,,,A2.4,,,,
